"drug","target"
"DB00321","BE0000797"
"DB00321","BE0000945"
"DB00321","BE0000112"
"DB00321","BE0003603"
"DB00321","BE0003604"
"DB00321","BE0000146"
"DB00321","BE0000156"
"DB00321","BE0000897"
"DB00321","BE0001039"
"DB00321","BE0002398"
"DB00321","BE0003605"
"DB00322","BE0000324"
"DB00324","BE0000794"
"DB00325","BE0000556"
"DB00327","BE0000420"
"DB00327","BE0000632"
"DB00327","BE0000770"
"DB00328","BE0000017"
"DB00328","BE0000262"
"DB00328","BE0000215"
"DB00328","BE0000962"
"DB00328","BE0000071"
"DB00328","BE0001640"
"DB00328","BE0003560"
"DB00328","BE0003561"
"DB00331","BE0000254"
"DB00332","BE0000045"
"DB00332","BE0000092"
"DB00332","BE0000560"
"DB00333","BE0000641"
"DB00333","BE0000411"
"DB00333","BE0000420"
"DB00333","BE0000770"
"DB00333","BE0000311"
"DB00334","BE0000045"
"DB00334","BE0000092"
"DB00334","BE0000501"
"DB00334","BE0000533"
"DB00334","BE0000560"
"DB00334","BE0000575"
"DB00334","BE0000756"
"DB00334","BE0004797"
"DB00334","BE0004872"
"DB00334","BE0000020"
"DB00334","BE0000145"
"DB00334","BE0000247"
"DB00334","BE0000289"
"DB00334","BE0000291"
"DB00334","BE0000311"
"DB00334","BE0000342"
"DB00334","BE0000389"
"DB00334","BE0000393"
"DB00334","BE0000405"
"DB00334","BE0000442"
"DB00334","BE0000451"
"DB00334","BE0000476"
"DB00334","BE0000572"
"DB00334","BE0000581"
"DB00334","BE0000650"
"DB00334","BE0000659"
"DB00334","BE0000797"
"DB00334","BE0000945"
"DB00334","BE0000112"
"DB00334","BE0000146"
"DB00334","BE0004688"
"DB00335","BE0000172"
"DB00335","BE0000694"
"DB00337","BE0000695"
"DB00337","BE0002386"
"DB00341","BE0000442"
"DB00343","BE0000679"
"DB00344","BE0000486"
"DB00344","BE0000749"
"DB00351","BE0000794"
"DB00351","BE0000557"
"DB00359","BE0002360"
"DB00361","BE0000143"
"DB00363","BE0000045"
"DB00363","BE0000092"
"DB00363","BE0000501"
"DB00363","BE0000533"
"DB00363","BE0000560"
"DB00363","BE0000575"
"DB00363","BE0000756"
"DB00363","BE0000020"
"DB00363","BE0000247"
"DB00363","BE0000289"
"DB00363","BE0000291"
"DB00363","BE0000311"
"DB00363","BE0000342"
"DB00363","BE0000389"
"DB00363","BE0000405"
"DB00363","BE0000442"
"DB00363","BE0000451"
"DB00363","BE0000476"
"DB00363","BE0000572"
"DB00363","BE0000581"
"DB00363","BE0000650"
"DB00363","BE0000659"
"DB00363","BE0000797"
"DB00363","BE0000945"
"DB00363","BE0000146"
"DB00363","BE0000666"
"DB00366","BE0000092"
"DB00366","BE0000442"
"DB00367","BE0000123"
"DB00367","BE0000557"
"DB00367","BE0000132"
"DB00367","BE0000539"
"DB00368","BE0000753"
"DB00368","BE0000118"
"DB00368","BE0000172"
