"smiles","drug","drugs"
"NC1=NC2=C(N(C=O)[C@H](CNC3=CC=C(C=C3)C(=O)N[C@H](CCC(=O)N[C@@H](CCC(=O)N[C@H](CCC(O)=O)C(O)=O)C(O)=O)C(O)=O)CN2)C(=O)N1","DB02067","DB02067"
"C1CCN(CC1)C1(CCCCC1)C1=CC=CS1","DB01520","DB01520"
"[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1(O)CCC2=O","DB01192","DB01192"
"OC(=O)CC(O)(CC(O)=O)C(O)=O","DB04272","DB04272"
"N1C=CC=N1","DB02757","DB02757"
"NC1=C2NC=NC2=NC=N1","DB00173","DB00173"
"OC(=O)CCC1=NC(=C(O1)C1=CC=CC=C1)C1=CC=CC=C1","DB00991","DB00991"
"CC(C)C1=NN=C2C=CC(=CN12)C1=C(N=CO1)C1=CC=C(F)C=C1","DB04797","DB04797"
"[H][C@@](CCCNC(N)=N)(NC(=O)C1CCCC1)C(=O)C1=NC2=C(S1)C=CC=C2","DB03251","DB03251"
"NC(=O)CC[C@@H]1NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CC2=CC=C(O)C=C2)NC(=O)CCSSC[C@H](NC(=O)[C@H](CC(N)=O)NC1=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(N)=N)C(=O)NCC(N)=O","DB00035","DB00035"
"[H][C@@](CC(C)C)(NC(=O)CCCCCCCCCCCN1C=CN=C1)C(O)=O","DB08086","DB08086"
"CN(C)CCCN1C2=CC=CC=C2CCC2=CC=CC=C12","DB00458","DB00458"
"C[As](C)SC[C@@H](N)C(O)=O","DB03963","DB03963"
"Cl.CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@H]1CS[C@@H](CN(CC(O)=O)C1=O)C1=CC=CS1","DB08836","DB08836"
"CC(C)C[C@H](NC(=O)[C@H]1CC(=O)NCCCCCCOC(=O)N[C@@H](C(C)C)C(=O)N1)[C@H](O)C[C@H](C)C(=O)N[C@@H](C(C)C)C(=O)NCC1=CC=CC=C1","DB02378","DB02378"
"CC(C)C[C@H](CN)CC(O)=O","DB00230","DB00230"
"CCOP(=O)(OCC)SCC[N+](C)(C)C","DB01057","DB01057"
"C[C@@H]1O[C@H](C[C@H](N)[C@@H]1O)O[C@H]1C[C@@](O)(CC2=C1C(O)=C1C(=O)C3=CC=CC=C3C(=O)C1=C2O)C(C)=O","DB01177","DB01177"
"OCC(C)(C)[C@@H](O)C(=O)NCCC(=O)NC=CS","DB03738","DB03738"
"OC(CC1=CC(=CC=C1)C1=CC=CC2=C1OC1=C2C=CC=C1)(P(O)(O)=O)P(O)(O)=O","DB07410","DB07410"
"COC1=C(F)C(F)=C(C(N)=O)C(F)=C1F","DB01827","DB01827"
"CC1=NC=C(COP(O)(O)=O)C(CN[C@@H]2CONC2=O)=C1O","DB02038","DB02038|DB03579|DB03787"
"CNC(=O)C1=NC=CC(OC2=CC3=C(C=C2)N=C(NC2=CC(=C(Cl)C=C2)C(F)(F)F)N3)=C1","DB06938","DB06938"
"CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C(N1CCC(O)CC(O)CC([O-])=O)C1=CC=C(F)C=C1)C1=CC=CC=C1","DB01076","DB01076"
"NC(=O)C1=CC2=C(O1)C=CC(=C2)N1CCN(CCCCC2=CNC3=C2C=C(C=C3)C#N)CC1","DB06684","DB06684"
"CC(C(O)=O)C1=CC=C(C=C1)C(=O)C1=CC=CS1","DB00870","DB00870"
"CC1=CC=C(O)C=C1","DB01688","DB01688"
"CC1=CC=C(C=C1)S(=O)(=O)NC1=C(SC(=C1)C1=CC=C(F)C=C1)C(O)=O","DB07770","DB07770"
"CCOC1=CC([C@@H](NC2=CC=C(C=C2)C(N)=N)C(O)=O)=C(F)C(O[C@@H]2CCOC2)=C1","DB04590","DB04590"
"NC1=NC(C(=O)N1)=C1/CCNC(=O)c2nccc12","DB04367","DB04367"
"C[C@@H](O)C(O)=O","DB03066","DB03066|DB04398"
"OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O)O[C@H]2CO)[C@H](F)[C@@H](O)[C@@H]1O","DB04155","DB04155"
"NC(=N)N[C@H](C1CCCCC1)C(=O)NCC(=O)N1CCC(CC1)c1cc(nn1)C1=CC=CC(Cl)=C1Cl","DB03957","DB03957"
