"smiles","drug","drugs"
"[H][C@]1(C)COC(=N1)C1=CC=C(OCCCCCC2=CC(C)=NO2)C=C1","DB08724","DB08724"
"CN(C)CCOC(C1=CC=CC=C1)C1=CC=CC=C1C","DB01173","DB01173"
"OC[C@H]1O[C@]2(NC(=O)NC2=O)[C@H](O)[C@@H](O)[C@@H]1O","DB01823","DB01823"
"[H][C@]1(CCCN1C(=O)CNC1CCCCCCC1)C(=O)NCC1=CC=C(C=C1)C(N)=N","DB06858","DB06858"
"OC[C@@H]1N[C@@H](CO)[C@H](O)[C@H]1O","DB02172","DB02172"
"[H][C@]1(CCCN1C(=O)CCC(C)C)C(=O)NCC1=CC=C(C=C1)C(N)=N","DB06936","DB06936"
"[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@H]2NC(=O)C(NC(=O)N1CCN(CC)C(=O)C1=O)C1=CC=C(O)C=C1)C(O)=O","DB01329","DB01329"
"O=C1NC2=C(O1)C(=CC=C2)N1CCN(CC2=CC(=CC=C2)C2=CC=CC=C2)CC1","DB04888","DB04888"
"NC(=[NH2+])C1=CC=C2NC(=NC2=C1)C1=CC(F)=CC=C1[O-]","DB02875","DB02875"
"CC(C)C1(CC=C)C(=O)NC(=O)NC1=O","DB01352","DB01352"
"CCOCCOCCOCCOCCOCCOCC","DB06867","DB06867"
"OC[C@@H](O)[C@H](O)[C@@H](O)CN1C(=O)C(=O)NC2=C1NC(=O)NC2=O","DB02214","DB02214"
"O=C1NC(=O)C(N2CCN(CC2)C2=NC=CC=N2)(C(=O)N1)C1=CC=C(OC2=CC=CC=C2)C=C1","DB07117","DB07117"
"NC1=NC=NC2=C1N=CN2[C@@H]1O[C@@H](CO[P@](O)(=O)O[P@@](O)(=O)OC[C@@H]2O[C@H]([C@H](O)[C@H]2O)[N+]2=CC=CC(=C2)C(O)=O)[C@H](O)[C@H]1O","DB04099","DB04099"
"O[C@H]1[C@H](CO[P@](O)(=O)O[P@@](O)(=O)O[C@@H]2OC[C@H](O)[C@H](O)[C@H]2O)O[C@H]([C@@H]1O)N1C=CC(=O)NC1=O","DB01713","DB01713"
"[H][C@@](C)(CC1=CC=CC=C1)N(C)CC=C","DB04677","DB04677"
"IC1=CC2=C(CCNC2)C=C1","DB03824","DB03824"
"OC(=O)[C@H]1CSCN1","DB02846","DB02846"
"[H][C@]1(CSC(=O)N1)[C@@]1(O)C[C@@]2([H])C[C@@]([H])(CC[C@]([H])(C)C=C/CCC(C)=C/C(=O)O2)O1","DB08080","DB08080"
"[H][C@](C)(C1=CC=CN1)C1=C2C=C(O)C=CC2=NC1=O","DB07033","DB07033"
"CN(CCN(C)C1=CC=C(C2=NON=C12)[N+]([O-])=O)C(C)=O","DB08751","DB08751"
"ON=C(/N)N1CCC(CC1)CNC(=O)[C@@H]1CC[C@H]2CN(CC(=O)N12)S(=O)(=O)CC1=CC=CC=C1","DB02723","DB02723"
"CCCCCN","DB02045","DB02045"
"CC1=CC(C)=NC(NS(=O)(=O)C2=CC=C(N)C=C2)=N1","DB01582","DB01582"
"NC[C@H](CS)C(O)=O","DB02780","DB02780"
"NNC(=O)C1=C(C2=C(N1)C=CC(=C2)S(N)(=O)=O)C1=CC=CC=C1","DB08659","DB08659"
"CN[C@@H](C)C(=O)N[C@H](C(=O)N1C[C@H](C[C@H]1C(=O)N[C@@H]1CCCC2=CC=CC=C12)OC1=CC=CC=C1)C(C)(C)C","DB04612","DB04612"
"OC(=O)[C@H]1CCC(=O)N1","DB03088","DB03088"
"CO[C@@H]1C=C/O[C@@]2(C)OC3=C(C2=O)[C@@H]2C(O)=C(N4CCOCC4)C(NC(=O)C(C)=C/C=C[C@@H](C)[C@@H](O)[C@@H](C)[C@@H](O)[C@H](C)[C@H](OC(=O)COC(=O)CC4=CN(C)C=CC4)[C@H]1C)=C(O)[C@@H]2C(O)=C3C","DB04220","DB04220"
"OC(=O)CCC1=CC=C(O)C=C1","DB03897","DB03897"
"CN(C)C1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](N)[C@H]1O","DB04602","DB04602"
"O=C1CCCCC1","DB02060","DB02060"
"C[C@H]1O[C@@H](O[C@@H]2[C@H](CO)O[C@@H](OC[C@@H]3O[C@H](O)[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@H]1N[C@@H]1C=C(CO)[C@@H](O)[C@H](O)[C@@H]1O","DB03495","DB03495"
"CCC1=C(O)C=C(O)C(=C1)C1=NNC(C(O)=O)=C1C1=CC=C2OCOC2=C1","DB02840","DB02840"
"CC[C@@]1(O)C[C@H](O[C@H]2C[C@H]([C@H](O[C@H]3C[C@@H](O)[C@@H](O[C@H]4CCC(=O)[C@H](C)O4)[C@@H](C)O3)[C@@H](C)O2)N(C)C)C2=C(O)C3=C(C=C2[C@@H]1O)C(=O)C1=CC=CC(O)=C1C3=O","DB03219","DB03219"
"CC1(C)NC2=C(N=C1O)C(=O)NC(N)=N2","DB02278","DB02278"
"COC1=C(CC2=CN(C)C3=C2C=C(NC(=O)OC2CCCC2)C=C3)C=CC(=C1)C(=O)NS(=O)(=O)C1=CC=CC=C1C","DB00549","DB00549"
"CC1=CC(OCC(O)=O)=CC(C)=C1CC1=CC=C(O)C(CC2=CC=CC=C2)=C1","DB03788","DB03788"
"ON(CC(O)=O)C(O)=O","DB02954","DB02954"
"ClC1=CC=C(C=C1)C(=O)NCCN1CCOCC1","DB01171","DB01171"
"NS(=O)(=O)C1=CC=C(NC2=CN3C=C(C=CC3=N2)C(=O)C2=C(Cl)C=CC=C2Cl)C=C1","DB04607","DB04607"
"[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@@]4([H])C[C@]([H])(CC[C@]4(C)[C@@]3([H])CC[C@]12C)OC(=O)CCC(O)=O)C(C)=O","DB08510","DB08510"
"CN1C(CC(O)=O)=CC=C1C(=O)C1=CC=C(C)C=C1","DB00500","DB00500"
"CC(C)C[C@@H](C(O)=O)C(=O)NO","DB02326","DB02326"
"NS(=O)(=O)C1=CC2=C(NC(CC3=CC=CC=C3)NS2(=O)=O)C=C1C(F)(F)F","DB00436","DB00436"
"CN1C(CCl)NC2=CC(Cl)=C(C=C2S1(=O)=O)S(N)(=O)=O","DB00232","DB00232"
"[H][C@@]12C[C@@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])C[C@]([H])(F)C2=CC(=O)C=C[C@]12C","DB01384","DB01384"
"CC(C1=CC=C(O1)C1=CC=C(C=C1)S(N)(=O)=O)=C1SC(=N)NC1=O","DB07540","DB07540"
"CC1=CC=C(C=C1)S(=O)(=O)N1N=CC2=C(C=CC=C2)B1O","DB08265","DB08265"
"COC1=C(OCCCN2CCCCC2)C=C2N=CN=C(N3CCN(CC3)C(=O)NC3=CC=C(OC(C)C)C=C3)C2=C1","DB05465","DB05465"
"ClC1=CC=CC(CNCCC2=CC=C(NC(=N)C3=CC=CS3)C=C2)=C1","DB03449","DB03449"
"[H][C@]1(C)CCCC[C@]1([H])OC1=C(O)C(=CC=C1)C1=CC2=CC(C(N)=N)=C(F)C=C2N1","DB06856","DB06856"
"[H][C@@]1(O)O[C@]([H])(CO)[C@@]([H])(O)[C@]([H])(O)[C@@]1([H])OCCCCCCCC","DB03152","DB03152"
"N[C@H](CC[C@@H](N)C(O)=O)C[C@@H]1O[C@H]([C@H](O)[C@H]1O)N1C=NC2=C1N=CN=C2N","DB01910","DB01910"
"[H][C@](S)(CC1=CC=C(I)C=C1)C(O)=O","DB02570","DB02570"
"[H][C@@](C)(OC1=C2C(N)=NC(N)=NC2=CC=C1)C1=CC(Cl)=CC=C1","DB07644","DB07644"
"CC(C)C[C@H](NC(=O)[C@@H](COC(C)(C)C)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=CC=CC=C12)NC(=O)[C@H](CC1=CN=CN1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@H]1C(=O)NNC(N)=O","DB00014","DB00014"
"[H][C@@](N)(CC1=CC=CC=C1)C(=O)N1CCC[C@@]1([H])C(=O)NCC1=CC(C)=CC=C1","DB07133","DB07133"
"[H][C@@]1(CC[C@@]([H])(C2=CC(Cl)=C(Cl)C=C2)C2=CC=CC=C12)NC","DB08567","DB08567"
"CC1=CC=C(C)C(CC2=NN(C3=C2C(N)=NC=N3)C(C)(C)C)=C1","DB08035","DB08035"
"OC(=O)C1=CC=C([Hg])C=C1","DB03975","DB03975"
"[H][C@]12SCC(CSC3=NN=C(C)S3)=C(N1C(=O)[C@H]2NC(=O)CN1C=NN=N1)C(O)=O","DB01327","DB01327"
"NC1=NC(=O)C2=C(N1)N=C[C@@H](CNC1=CC=C(C=C1)C(=O)N[C@H](CCC(O)=O)C(O)=O)N2CO","DB02800","DB02800"
"[H][C@@]12C[C@@]3([H])[C@]4([H])C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4([H])[C@@H](O)C[C@]3(C)[C@@]1(OC(C)(C)O2)C(=O)CO","DB00180","DB00180"
"NC1=NC=NC2=C1N=CN2[C@@H]1O[C@@H](CO[P@](O)(=O)OS(O)(=O)=O)[C@H](O)[C@H]1O","DB03708","DB03708"
"N[C@@H](CP(O)(O)=O)C(O)=O","DB03292","DB03292"
"[H][C@]12SCC(CSC3=NN=NN3CCN(C)C)=C(N1C(=O)[C@H]2NC(=O)CC1=CSC(N)=N1)C(O)=O","DB00229","DB00229"
"[H][C@@](CC(C)C)(CC(O)=O)C(=O)N[C@@]1([H])CC2=CN(CCCCCCNC1=O)C1=C2C=CC=C1","DB08493","DB08493"
"[H][C@]1(CNC2=C(N1)C(N)=NC(N)=N2)C1=CC=CC=C1","DB02911","DB02911"
"CCN(CC)C(=O)CC1=CC=CC(NS(=O)(=O)C2=C(C)C(Cl)=CC=C2)=N1","DB07056","DB07056"
"[H][C@]1(CNC(=O)C2=CC=C(Cl)S2)CN(C(=O)O1)C1=CC=C(C=C1)N1CCOCC1=O","DB08477","DB08477"
"O[Mo+6](O)=O","DB04494","DB04494"
"CC1=CC2=C(C=C1)N(CCC2)C(=O)SCC(=O)NC1=C(Cl)C=C(C=C1)S(N)(=O)=O","DB08494","DB08494"
"[H][C@@](C)(CCC1=CC=C(O)C=C1)NC(=O)CC1=C(NC2=C1C=CC=C2)C1=CC=CC=C1","DB07991","DB07991"
"[H][C@@]1(CC2=CC(OCCCC)=C(OC)C=C2)CNC(=O)N1","DB06842","DB06842"
"[H][C@@]1(CO)COB(O1)C1=CC=C(CCNC(N)=N)C=C1","DB07071","DB07071"
"NC1=NC2=C(N=CN2[C@H]2O[C@H](CO)[C@@H]3O[P@](O)(=S)O[C@H]23)C(=O)N1","DB03178","DB03178"
"C[C@](O)(CBr)CCO[P@](O)(=O)OP(O)(O)=O","DB02480","DB02480|DB04170"
"[H][C@@](NS(=O)(=O)C1=CC=CC2=NSN=C12)(C(=O)NC1=CC=NC=C1)C1=CC=CC=C1","DB07568","DB07568"
"NC1=NC2=C(N=CN2[C@@H]2O[C@@H](CO[P@](O)(=O)OP(O)(O)=O)[C@H](O[P@](O)(=O)OP(O)(O)=O)[C@H]2O)C(=O)N1","DB04022","DB04022"
"CN1C=C(N=N1)[C@@H]1SC=C(NC=C1C=O)C(O)=O","DB02816","DB02816"
"CN1C(=O)C=C(N2CCC[C@@H](N)C2)N(CC2=C(C=CC=C2)C#N)C1=O","DB06203","DB06203"
"OC(=O)CCC(=O)CF","DB02828","DB02828"
"[H][C@@](N)(CC1=CC=CC=C1)C(=O)N1CCC[C@@]1([H])C(=O)NCC1=CC=CC(F)=C1","DB07027","DB07027"
"CCCCCCCCCCCCCCCC(=O)OC[C@@H](CO[P@@](=O)([O-])O[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)[C@H](O)[C@H]1O)OC(=O)CCCCCCCC=CCCCCCCCC","DB02144","DB02144"
"OC[C@@H](O)COP(O)(O)=O","DB02515","DB02515"
"Nc1ncnc2c(nnc12)[C@@H]1O[C@@H](CO)[C@H](O)[C@H]1O","DB02281","DB02281"
"[H][C@](NS(=O)(=O)C1=CC=C(C=C1)C1=CC=C(OC)C=C1)(C(C)C)P(O)(O)=O","DB07772","DB07772"
"CN1C=C(C(=N1)C1=CC=C(OCC2=NC3=CC=CC=C3C=C2)C=C1)C1=CC=NC=C1","DB08387","DB08387"
"CC(=O)N[C@H]1[C@H](O)C[C@](O)(O[C@@H]1[C@@H](O)[C@@H](O)CO)C(O)=O","DB01894","DB01894|DB02344|DB03721|DB04265"
"[H][C@]1(NC2=CC(Cl)=C(C=C2S(=O)(=O)N1)S(N)(=O)=O)C(Cl)Cl","DB08645","DB08645"
"NC1=NCC2N1C1=CC=CC=C1CC1=CC=CC=C21","DB00751","DB00751"
"CC(C)NC1=CC2=C(C=NN2C2=NC(=CN=C2)N2C=CC(CC(O)=O)=C2)C=C1","DB07546","DB07546"
"[H][C@](CC)(C(O)=O)[C@]([H])(NS(=O)(=O)C1=CC=C(C)C=C1)C(O)=O","DB06951","DB06951"
"CC(C)CC(NC(=O)CNC(=O)C(CC1=CC=C(O)C=C1)NC(=O)C(CO)NC(=O)C(CC1=CNC2=CC=CC=C12)NC(=O)C(CC1=CN=CN1)NC(=O)C1CCC(=O)N1)C(=O)NC(CCCN=C(N)N)C(=O)N1CCCC1C(=O)NCC(N)=O","DB00644","DB00644"
"[H][C@]1(CSC(=O)N1)[C@@]1(O)C[C@@]2([H])C[C@@]([H])(CC[C@]([H])(C)C=C/C=CCCC(C)=C/C(=O)O2)O1","DB02621","DB02621"
"CN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=C(Cl)C=C1","DB08936","DB08936"
"OC1=C(Br)C=C(C=NNC(=O)C2=CC=C(Cl)C=C2)C(O)=C1Br","DB06950","DB06950"
"[O-][N+](=O)c1cccc2c(Br)nnc12","DB01997","DB01997"
"NC1=NC(=C(C=N1)N=NC1=CC=CC=C1)C1=C(Cl)C=C(Cl)C=C1","DB08787","DB08787"
"C[C@@H](NC(=O)[C@H](CCC[C@@H](N)C(O)=O)NC(=O)CC[C@@H](NC(=O)[C@H](C)NC(=O)[C@@H](C)O[C@@H]1[C@@H](NC(C)=O)[C@@H]2OC[C@@H](O2)[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1NC(C)=O)C(O)=O)C(O)=O","DB04736","DB04736"
"[H][C@]12O[C@]([H])(CO)[C@@]([H])(O)[C@]([H])(O)[C@@]1([H])N=C(CCC)S2","DB08255","DB08255"
"[O-][V]1(=O)O[V]([O-])(=O)O[V]([O-])(=O)O[V]([O-])(=O)O1","DB02147","DB02147"
"OC(=O)C1=CCCNC1","DB08848","DB08848"
"NC(=N)NCCC[C@@H](NC(=O)CCC(O)=O)C(O)=O","DB02501","DB02501"
"CCCCCCCCCCCCC(O)=O","DB02448","DB02448"
"O=C1[C@H]2[C@@H]3CC[C@@H](C3)[C@H]2C(=O)N1C[C@@H]1CCCC[C@H]1CN1CCN(CC1)C1=NSC2=CC=CC=C12","DB08815","DB08815"
"CC(C)=CCCC(C)=CCCC(C)=C/CS[P@@](=O)(O)OP(O)(=O)O","DB04695","DB04695"
"CCCCCCCCCCCCO","DB06894","DB06894"
"OC(=O)CC1=CC=C(C=C1)[N+]([O-])=O","DB07331","DB07331"
"[H][C@@]12C=C(C)CC[C@@]1([H])C(C)(C)OC1=C2C(O)=CC(CCCCC)=C1","DB00470","DB00470"
"[H][C@@]12CCC[C@]1([H])N([C@@H](C2)C(O)=O)C(=O)[C@H](C)N[C@@H](CCC1=CC=CC=C1)C(=O)OCC","DB00178","DB00178"
"NC(=O)NO","DB01005","DB01005"
"CS(=O)(=O)C1=CC=C(C=C1)C1=C(C(=O)OC1)C1=CC=CC=C1","DB00533","DB00533"
"O[C@@H]1[C@@H](O)[C@@H](O[C@H]1CO[P@](O)(=O)O[P@@](O)(=O)OP(O)(O)=O)N1C=CC(=O)NC1=O","DB04005","DB04005"
"NS(=O)(=O)C1=CC=C(CNC(=O)C2=C(NN=C2)C2=CC(Cl)=C(O)C=C2O)C=C1","DB04588","DB04588"
"OCCCCCCBr","DB04637","DB04637"
"CCC1(CCC(C)C)C(=O)NC(=O)NC1=O","DB01351","DB01351"
"[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)C=C[C@]12C","DB00860","DB00860"
"[H][C@](C)(O[P@@]([H])(C)=O)C(C)(C)C","DB07822","DB07822"
"COC(=O)C1=C(CCC(=O)NC2=C(O)C=C(OC)C(O)=C2)C(Cl)=C(O)C=C1O","DB08464","DB08464"
"NC(=O)C1=C(NC(=O)C2CC2)SC2=C1CCCC2","DB07398","DB07398"
"O[C@H]([C@@H](O)[C@@H](O)C([O-])=O)[C@@H](O)C([O-])=O","DB03603","DB03603"
"CO[C@@H]1C[C@@H](CC[C@H]1O)C=C(/C)[C@H]1OC(=O)[C@@H]2CCCCN2C(=O)C(=O)[C@]2(O)O[C@@H]([C@H](C[C@H]2C)OC)[C@H](C[C@@H](C)CC(C)=C[C@@H](CC=C)C(=O)C[C@H](O)[C@H]1C)OC","DB00864","DB00864"
"COC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC=C1[N+]([O-])=O)C(=O)OC","DB01115","DB01115"
"O=C1C[C@@H]2CC[C@H]1C2","DB03540","DB03540"
"N[C@@H](Cc1c(O)nc2ccccc12)C(O)=O","DB03679","DB03679"
"[H][C@@](CC(C)C)(NC(C)=O)[C@]1([H])O[C@]([H])(C[C@@]1([H])C(=O)OC)C(O)=O","DB03257","DB03257"
"CCCCCCCCC(=O)N(CCO)C[C@@H](O)[C@H](O)[C@@H](O)[C@H](O)CO","DB01970","DB01970"
"CC(C)COC1=C([O-])C(=CC=C1)C1=NC2=CC(C(N)=[NH2+])=C(F)C=C2N1","DB03494","DB03494"
"NC1=C2N=CN([C@H]3C[C@H](O)[C@@H](CO)O3)C2=NC(Cl)=N1","DB00242","DB00242"
"NS(=O)(=O)OC1=CC=C2C3=C(CCCCC3)C(=O)OC2=C1","DB02292","DB02292"
"CC(=O)N[C@H]1[C@@H](C[C@@H](O[C@H]1[C@H](O)[C@@H](O)CO)C(O)=O)NC(N)=N","DB03420","DB03420"
"[H][C@]12SCC(CSC3=NN=NN3CS(O)(=O)=O)=C(N1C(=O)[C@H]2NC(=O)[C@H](O)C1=CC=CC=C1)C(O)=O","DB01328","DB01328"
"C[C@@H](O)[C@H](N)C(O)=O","DB00156","DB00156"
"CCC1(C)CC(=O)NC1=O","DB00593","DB00593"
"NS(=O)(=O)C1=C(Cl)C=C(NCC2=CC=CO2)C(=C1)C(O)=O","DB00695","DB00695"
"[H][C@]1(S)C[C@@]([H])(O[C@]1([H])COP(O)(O)=O)N1C=C(C)C(=O)NC1=O","DB08651","DB08651"
"NCCC[C@@H](NC(=O)CCC(O)=O)C(O)=O","DB03582","DB03582"
"[H][C@@]12C[C@@]3([H])[C@]4([H])CCC5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@@]1(OC1(CCCC1)O2)C(=O)COC(C)=O","DB00288","DB00288"
"C1(N(C(=O)CC1)CCC12[Fe]3456789%10C%11C3=C4C5=C6%11)=O.C7(C8=C19)=C2%10","DB01703","DB01703"
"C[C@@H]([C@@H](N)C(O)=O)C(O)=O","DB04538","DB04538"
"C(CCCN1C=CN=C1)CCN1C=CN=C1","DB06968","DB06968"
"CC[C@H](C)[C@@H](NC(=O)[C@@H](OCC1=CC=CC=C1)[C@H](O)[C@@H](O)[C@H](OCC1=CC=CC=C1)C(=O)N[C@H]([C@H](C)CC)C(=O)NC)C(=O)NC","DB03908","DB03908"
"OC1=CC=C(C=C1)[N+]([O-])=O","DB04417","DB04417"
"CN1C=NC=C1[C@@](N)(C1=CC=C(Cl)C=C1)C1=CC2=C(C=C1)N(C)C(=O)C=C2C1=CC(Cl)=CC=C1","DB04960","DB04960"
"[H][C@]1(N)CN(C[C@@]1([H])C(=O)N1CCCC1)C(=O)C1=CN=C2C=CC=CC2=N1","DB07015","DB07015"
"OC1=C(C(=O)OC1=C/C1=CC=CC2=CC=CC=C12)C1=CC=C(Cl)C=C1","DB07296","DB07296"
"CC(C)CCN(C[C@@H](O)[C@@H]1CC2=CC=C(OCCCC(=O)N[C@@H](C(C)C)C(=O)N1)C=C2)S(=O)(=O)C1=CC=CC=C1","DB03768","DB03768"
"[H][C@@](C)(CCC(O)=O)[C@@]1([H])CC[C@@]2([H])[C@]3([H])CC[C@]4([H])C[C@]([H])(O)CC[C@]4(C)[C@@]3([H])C[C@]([H])(O)[C@]12C","DB07690","DB07690"
"C[C@H]1CC(=O)NN=C1C1=CC=C(NC2=C(CC3=CC=CC(I)=C3)C(=O)CCC2)C=C1","DB01640","DB01640"
"O[C@H]1[C@@H]2CO[C@H]1[C@@H](OS(O)(=O)=O)[C@H](O)O2","DB01981","DB01981"
"[H][C@]12SCC(COC(C)=O)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC)C1=CSC(N)=N1)C(O)=O","DB00493","DB00493"
"CCCC[N+](CCCC)(CCCC)CCCC","DB01851","DB01851"
"NC1=NC2=C(N3[C@@H](COC3=O)CN2)C(=O)N1","DB03332","DB03332"
"OC[C@H]1CN(CC2=CN[C@@H]3[C@H]2N=CNC3=O)C[C@@H]1O","DB03551","DB03551"
"CN(CCCCCCOC1=CC=C2C(SN=C2C2=CC=C(Br)C=C2)=C1)CC=C","DB02544","DB02544"
"COC1=CC=C2N(C=NC2=C1)[C@@H]1O[C@@H](CO)[C@H](O[P@@]([O-])(=O)O[C@H](C)CNC(=O)CC[C@]2(C)[C@@H](CC(N)=O)C3=[N+]4C2=C(C)C2=[N+]5C(=CC6=[N+]7C(=C(C)C8=[N+]([C@]3(C)[C@](C)(CC(N)=O)[C@@H]8CCC(N)=O)[Co@@]457)[C@](C)(CC(N)=O)[C@@H]6CCC(N)=O)C(C)(C)[C@@H]2CCC(N)=O)[C@H]1O","DB02667","DB02667"
"COC1=CC(CC2=NC3=NC(F)=NC(N)=C3N2)=C(OC)C=C1","DB03093","DB03093"
"[H][C@@](CC1=CC=CC=C1)(NC(=O)C1=CC2=C(N1)C=CC(Cl)=C2)C(=O)N1CC(C1)C(O)=O","DB03744","DB03744"
"NC(=O)C1=C(N)N=C2OC3=C(C=C(F)C=C3)C(=O)C2=C1","DB07040","DB07040"
"NC1=CC=CC(=C1)C1=C2N=C(NC3=CC=CC(Cl)=C3)C=CN2N=C1","DB07698","DB07698"
"[H][C@](C)(CO[P@@](O)(=O)CCCCCC)CC1=CC=CC=C1","DB06965","DB06965"
"N[C@@H](CSCC[B](O)(O)O)C(O)=O","DB03731","DB03731"
"N[C@@H](CSCCCCC=C(/NC(=O)[C@H]1CC1(C)C)C(=O)O)C(=O)O","DB01597","DB01597"
"CCC1=CC=CC2=C1OC(=C2)C(O)CNC(C)(C)C","DB06726","DB06726"
"[H][C@@]1(C(C)C)N(CC2=CC=CC=C2)C(=O)C(=C1O)C1=NS(=O)(=O)C2=C1C=CC=C2","DB07414","DB07414"
"[H][C@@]1(C)CN1C1=CC(=O)C2=C(C(CO)=C(N2C)C2=CC=CC=C2)C1=O","DB07385","DB07385"
"[H][C@@]1(CCCN1C1=NC(=NC(C)=C1)N1C=CN=C1)C(=O)NCCC1=CC2=C(OCO2)C=C1","DB06916","DB06916"
"CCCCCC[C@](O)(CN1C=CN=C1)C1=CC=C(Cl)C=C1Cl","DB02617","DB02617"
"CC1=CC=C(O)C=C1C","DB04052","DB04052"
"CCOP(=O)(CC1=CC=C(C)C=C1)OCC","DB02138","DB02138"
"NC1=NC(=O)N(C=C1)[C@@H]1O[C@@H](CO[P@](O)(=O)O[P@@](O)(=O)OP(O)(O)=O)[C@H](O)[C@H]1O","DB02431","DB02431"
"OCCNCCNC1=C2C(=O)C3=C(O)C=CC(O)=C3C(=O)C2=C(NCCNCCO)C=C1","DB01204","DB01204"
"[H][C@@]12CC[C@H](O)[C@H](C(=O)OC)[C@@]1([H])C[C@]1([H])N(CCC3=C1NC1=CC=CC=C31)C2","DB01392","DB01392"
"[H][C@@]1(CC(O)=O)CC2=CC3=C(C(O)=CC=C3)C(=O)C2=C(C)O1","DB08541","DB08541"
"CCC[N+]#[C-]","DB04050","DB04050"
"[H][C@@]12CC[C@@](O)(C#C)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC3=C(C[C@]12C)C=NO3","DB01406","DB01406"
"CN1C(=O)NC(=O)C(C)(C1=O)C1=CCCCC1","DB01355","DB01355"
"OC(C1CCCCN1)C1=CC(=NC2=C1C=CC=C2C(F)(F)F)C(F)(F)F","DB00358","DB00358"
"OC(=O)CCCCCNC(=O)CCC[P@](O)(=O)OC1=CC=C(C=C1)[N+]([O-])=O","DB08412","DB08412"
"CC(C)(C)NC(=O)[C@@H]1CN(CC2=CC3=C(O2)C=CC=C3)CCN1C[C@@H](O)C[C@H](CC1=CC=CC=C1)C(=O)N[C@H]1[C@H](O)CC2=CC=CC=C12","DB02009","DB02009"
"CCCCCCCCCCCCCCCCCC(O)=O","DB03193","DB03193"
"CCCCC[C@@H](SCC=O)CC=CC(=O)SCCNC(=O)CCN[C@@H](O)C(=O)C(C)(C)CO[P@@](=O)(O)O[P@](=O)(O)OC[C@@H]1O[C@H]([C@H](O)[C@H]1OP(O)(O)=O)[n+]1cnc2c(N)ncnc12","DB03698","DB03698"
"NC1=NC(CCC2=CC3=C(C=CN3)C=C2)=CC(=O)N1","DB07535","DB07535"
"[H][C@@](N)(C(=O)N1CC[C@]([H])(F)C1)[C@@]([H])(C)[C@@]1([H])CC[C@@]([H])(CC1)N(C)C(C)=O","DB06939","DB06939"
"CC1=CN([C@@H]2C[C@H](N=[N+]=[N-])[C@@H](CO[P@]([O-])(=O)O[P@@]([O-])(=O)O[P@]([O-])(=O)O[P@@]([O-])(=O)O[P@@]([O-])(=O)OC[C@@H]3O[C@H]([C@H](O)[C@H]3O)N3C=NC4=C3N=CN=C4N)O2)C(=O)NC1=O","DB03845","DB03845"
"CCCCCCCCCCCCCCCCCC(=O)OC[C@@H](CO[P@](O)(=O)OCCN)OC(=O)CCCCCCCCCCCCCCCCC","DB01966","DB01966"
"NC1=NC(=O)C2=C(N1)N=C[C@@H](CNC1=CC=C(C=C1)C(=O)N[C@H](CCC(O)=O)C(O)=O)N2C=O","DB02718","DB02718"
"OC(=O)C1=CC(=CC=C1O)N=NC1=CC=C(O)C(=C1)C(O)=O","DB01250","DB01250"
"COC1=CC(OCC2=CC=NC=C2)=C(C)C=C1","DB07428","DB07428"
"CC(C)[C@@H]([C@H](O)C(O)=O)C(O)=O","DB04279","DB04279"
"NC1=NCCS1","DB02335","DB02335"
"NC1=NC=NC2=C1N=CN2[C@@H]1O[C@@H](CO[P@@](O)(=O)CP(O)(O)=O)[C@H](O)[C@H]1O","DB03148","DB03148"
