run,fold,method,precision,recall,accuracy,roc_auc,f1,average_precision
1,0,Random Forest,0.8685121107266436,0.8605714285714285,0.8651428571428571,0.938048,0.8645235361653273,0.9435261095082474
1,1,Random Forest,0.8760330578512396,0.848,0.864,0.9359164081632653,0.8617886178861788,0.9411783438579682
1,2,Random Forest,0.8717366628830874,0.8777142857142857,0.8742857142857143,0.937557551020408,0.8747152619589977,0.9436277470786294
1,3,Random Forest,0.8843537414965986,0.8914285714285715,0.8874285714285715,0.9523944489795918,0.8878770631758679,0.9544737138323244
1,4,Random Forest,0.8839907192575406,0.8708571428571429,0.8782857142857143,0.9421087346938776,0.8773747841105355,0.9504425505246324
1,5,Random Forest,0.8637387387387387,0.8765714285714286,0.8691428571428571,0.9359307755102042,0.8701077708451503,0.9452829252700587
1,6,Random Forest,0.8813953488372093,0.8662857142857143,0.8748571428571429,0.9427213061224491,0.8737752161383285,0.946026771652126
1,7,Random Forest,0.8711162255466053,0.8651428571428571,0.8685714285714285,0.9367177142857142,0.8681192660550459,0.9462077485681306
1,8,Random Forest,0.8682432432432432,0.8811428571428571,0.8737142857142857,0.9456796734693877,0.874645490640953,0.9527531752189702
1,9,Random Forest,0.8882421420256111,0.872,0.8811428571428571,0.9434142040816327,0.8800461361014994,0.9539173594549482
2,0,Random Forest,0.867579908675799,0.8685714285714285,0.868,0.9388290612244898,0.8680753854940034,0.9469323246612762
2,1,Random Forest,0.8852838933951332,0.8731428571428571,0.88,0.9445446530612245,0.8791714614499424,0.9511091535640768
2,2,Random Forest,0.875,0.88,0.8771428571428571,0.9408097959183674,0.8774928774928775,0.9433326842870644
2,3,Random Forest,0.8771526980482205,0.8731428571428571,0.8754285714285714,0.9367555918367347,0.875143184421535,0.9455914563335386
2,4,Random Forest,0.8834080717488789,0.9005714285714286,0.8908571428571429,0.9510563265306123,0.8919071873231467,0.9558714671254864
2,5,Random Forest,0.8706015891032917,0.8765714285714286,0.8731428571428571,0.9423072653061224,0.8735763097949886,0.9470732872811222
2,6,Random Forest,0.888,0.888,0.888,0.951734857142857,0.888,0.9565143130941259
2,7,Random Forest,0.8854166666666666,0.8742857142857143,0.8805714285714286,0.9442723265306122,0.8798159861989648,0.9518479878903
2,8,Random Forest,0.8713789107763615,0.8594285714285714,0.8662857142857143,0.9341720816326531,0.8653624856156502,0.9442332449792283
2,9,Random Forest,0.8784403669724771,0.8754285714285714,0.8771428571428571,0.9403585306122448,0.8769318832283914,0.9480671306498614
