"smiles","drug_id"
"CC(C)[C@H](N)C(O)=O","DB00161"
"CC(=C/CO)C=CC=C(/C)C=CC1=C(C)CCCC1(C)C","DB00162"
"CC1=C(O)C(CO)=C(CO)C=N1","DB00165"
"OC(=O)CCCCC1CCSS1","DB00166"
"CC[C@H](C)[C@H](N)C(O)=O","DB00167"
"COC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](N)CC(O)=O","DB00168"
"CC(C)CCC[C@@H](C)[C@@]1([H])CC[C@@]2([H])C(CCC[C@]12C)=CC=C1C[C@@H](O)CCC1=C","DB00169"
"CC1=CC(=O)C2=CC=CC=C2C1=O","DB00170"
"NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O","DB00171"
"OC(=O)[C@@H]1CCCN1","DB00172"
"NC1=C2NC=NC2=NC=N1","DB00173"
"N[C@@H](CC(N)=O)C(O)=O","DB00174"
"CC1=CC2=C(C=C1C(=C)C1=CC=C(C=C1)C(O)=O)C(C)(C)CCC2(C)C","DB00307"
"CCCCCCCN(CC)CCCC(O)C1=CC=C(NS(C)(=O)=O)C=C1","DB00308"
"[H][C@@]12N3CC[C@@]11C4=CC(=C(OC)C=C4N(C)[C@@]1([H])[C@](O)([C@H](O)[C@]2(CC)C=CC3)C(N)=O)[C@]1(C[C@]2([H])CN(C[C@](O)(CC)C2)CCC2=C1NC1=CC=CC=C21)C(=O)OC","DB00309"
"CC[C@@H](CO)NCCN[C@@H](CC)CO","DB00330"
"NC(=O)NN=CC1=CC=C(O1)[N+]([O-])=O","DB00336"
"CN1CCCC(CC2C3=CC=CC=C3SC3=CC=CC=C23)C1","DB00340"
"[H][C@](NC(=O)[C@H](CC1=CC=C(OS(O)(=O)=O)C=C1)NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H]1CCC(=O)N1)([C@@H](C)O)C(=O)NCC(=O)N[C@@H](CC1=CNC2=CC=CC=C12)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CC1=CC=CC=C1)C(N)=O","DB00403"
"CC(=O)NC1C(O)OC(COS(O)(=O)=O)C(OC2OC(C(OC3OC(CO)C(OC4OC(C(O)C(O)C4OS(O)(=O)=O)C(O)=O)C(OS(O)(=O)=O)C3NS(O)(=O)=O)C(O)C2OS(O)(=O)=O)C(O)=O)C1O","DB00407"
"C[C@H](O)[C@H](C)[C@@H]1O[C@H]1C[C@H]1CO[C@@H](CC(C)=CC(=O)OCCCCCCCCC(O)=O)[C@H](O)[C@@H]1O","DB00410"
"[I-].[I-].[H][C@@]12CC3=CC=C(OC4=C5C(CC[N+](C)(C)[C@]5([H])CC5=CC(OC6=C(OC)C=C(CC[N+]1(C)C)C2=C6)=C(OC)C=C5)=CC(OC)=C4OC)C=C3","DB00416"
"CCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO","DB00419"
"CC(=O)OCC(CCN1C=NC2=CN=C(N)N=C12)COC(C)=O","DB00426"
"[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@@]2([H])NC(=O)[C@H](NC(=O)C1=C(O)C=C(C)N=C1)C1=CC=C(O)C=C1)C(O)=O","DB00430"
"Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H]1Cl","DB00431"
"OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(C(=O)NC1=O)C(F)(F)F","DB00432"
"[O-]C(=O)C1=C(CS[C@]2([H])[C@H](NC(=O)C(=N/OC(C)(C)C(O)=O)C3=CSC(N)=N3)C(=O)N12)C[N+]1=CC=CC=C1","DB00438"
"COCC1=C(C2=CC=C(F)C=C2)C(C=C[C@@H](O)C[C@@H](O)CC(O)=O)=C(C(C)C)N=C1C(C)C","DB00439"
"[O-][N+](=O)C1=CC=C(O1)C=N/N1CC(=O)NC1=O","DB00698"
"CC(C)OC(=O)CCCC=C/C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1CC[C@@H](O)CCC1=CC=CC=C1","DB00654"
"[H][C@@]12CCC(=O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3","DB00655"
"CNC1(C)C2CCC(C2)C1(C)C","DB00657"
"CC(=O)NCCCS(O)(=O)=O","DB00659"
"C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COC(=O)C(C)(C)C","DB00663"
"COC1=NC=CN=C1NS(=O)(=O)C1=CC=C(N)C=C1","DB00664"
"CC1(C)NC(=O)N(C1=O)C1=CC(=C(C=C1)[N+]([O-])=O)C(F)(F)F","DB00665"
"CC(C)CC(NC(=O)C(CC1=CC2=CC=CC=C2C=C1)NC(=O)C(CC1=CC=C(O)C=C1)NC(=O)C(CO)NC(=O)C(CC1=CNC2=CC=CC=C12)NC(=O)C(CC1=CNC=N1)NC(=O)C1CCC(=O)N1)C(=O)NC(CCCNC(N)=N)C(=O)N1CCCC1C(=O)NCC(N)=O","DB00666"
"OP(O)(O)=O.OP(O)(O)=O.NCCC1=CN=CN1","DB00667"
"CN1CCN(CC(=O)N2C3=CC=CC=C3C(=O)NC3=C2N=CC=C3)CC1","DB00670"
"CCOC(=O)NC1=CC2=C(SC3=CC=CC=C3N2C(=O)CCN2CCOCC2)C=C1","DB00680"
"[H][C@@]12CN(C[C@]1([H])C2N)C1=C(F)C=C2C(=O)C(=CN(C3=C(F)C=C(F)C=C3)C2=N1)C(O)=O","DB00685"
"[H][C@]12SCC(COC(C)=O)=C(N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CC=CC=C1)C(O)=O","DB00689"
"OC1=CC2=C(C=C1)C1(OC(=O)C3=CC=CC=C13)C1=C(O2)C=C(O)C=C1","DB00693"
"[H][C@@]12CC3=CN(C)C4=CC=CC(=C34)[C@]1(C[C@@H](COC(=O)C1=CC(Br)=CN=C1)CN2C)OC","DB00699"
"CC(C)CN(C[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)C1=CC=C(N)C=C1","DB00701"
"CC(C)CC(N(C)C)C1(CCC1)C1=CC=C(Cl)C=C1","DB01105"
"CCC1(CC)C(=O)NCC(C)C1=O","DB01107"
"[H][C@]12O[C@]11CC[C@@]3([H])[C@]4([H])CC[C@H](O)[C@@]4(C)CC[C@]3([H])[C@@]1(C)CC(C#N)=C2O","DB01108"
"O=C1N(CC2=CC=CC=C2)C2C[S+]3CCCC3C2N1CC1=CC=CC=C1","DB01116"
"NC(=O)NC(=O)CC1=CC=CC=C1","DB01121"
"CC[N+](CC)(CCNC(=O)C(=O)NCC[N+](CC)(CC)CC1=CC=CC=C1Cl)CC1=CC=CC=C1Cl","DB01122"
"NC1=CC2=NC3=C(C=CC(N)=C3)C=C2C=C1","DB01123"
"COC1=CC=C(C=C1)C1C(=O)C2=CC=CC=C2C1=O","DB01125"
"ClC1=CC=C(COC(CN2C=CN=C2)C2=C(Cl)C=C(Cl)C=C2)C=C1","DB01127"
"CC(C)(C)C(=O)OCC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C","DB01134"
"COC1=CC(CC2C3=C(CC[N+]2(C)CCCOC(=O)CCC(=O)OCCC[N+]2(C)CCC4=C(C2CC2=CC(OC)=C(OC)C(OC)=C2)C(OC)=C(OC)C(OC)=C4)C=C(OC)C(OC)=C3OC)=CC(OC)=C1OC","DB01135"
"C[C@H]1COC2=C3N1C=C(C(O)=O)C(=O)C3=CC(F)=C2N1CCN(C)CC1","DB01137"
"O=C1C(CCS(=O)C2=CC=CC=C2)C(=O)N(N1C1=CC=CC=C1)C1=CC=CC=C1","DB01138"
"[H]C(CCN(C)C)=C1C2=CC=CC=C2COC2=CC=CC=C12","DB01142"
"OS(=O)CNC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(NCS(O)=O)C=C1","DB01145"
"CN1CCC(CC1)OC(C1=CC=CC=C1)C1=CC=CC=C1","DB01146"
"ClC1=CC(Cl)=C(C=C1)C(CN1C=CN=C1)OCC1=CSC2=C1C=CC=C2Cl","DB01153"
"CCCC(C)C1(CC=C)C(=O)NC(=S)NC1=O","DB01154"
"COC1=CC(NCC2=C(C)C3=C(C=C2)N=C(N)N=C3N)=CC(OC)=C1OC","DB01157"
"OCC(N)(CO)CO.CCCCC[C@H](O)C=C[C@H]1[C@H](O)C[C@H](O)[C@@H]1CC=C/CCCC(O)=O","DB01160"
"CC1COC2=C3N1C=C(C(O)=O)C(=O)C3=CC(F)=C2N1CCN(C)CC1","DB01165"
"NC(N)=NCCN1CCCCCCC1","DB01170"
"CN(C)S(=O)(=O)C1=CC2=C(SC3=CC=CC=C3N2CCCN2CCN(C)CC2)C=C1","DB01622"
"CC(C)[N+](C)(CCC(C(N)=O)(C1=CC=CC=C1)C1=CC=CC=C1)C(C)C","DB01625"
"CN(CC#C)CC1=CC=CC=C1","DB01626"
"CC1=NC=C(C=C1)C1=C(C=C(Cl)C=N1)C1=CC=C(C=C1)S(C)(=O)=O","DB01628"
"OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=C(F)C(=O)NC1=O","DB01629"
"CCCCCC1=CC=C(C=C1)C(=O)NC1=CC=C(C=C1)S(=O)(=O)N(CCN1CCOCC1)[C@H](C(C)C)C(=O)NO","DB01630"
"CCCCCCCCC(=O)OC","DB01631"
"O[C@H]1[C@@H](O)[C@@H](O[P@](O)(=O)OP(O)(O)=O)O[C@@H]1COP(O)(O)=O","DB01632"
"OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O[C@H]3[C@H](O)[C@@H](F)[C@H]([O-])O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O","DB01633"
"N[C@@H](C[C@H]1C=C(NNC2=CC=CC=N2)C(O)=CC1=O)C(O)=O","DB01634"
"OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO","DB01638"
"CC1=C(O)C(C=O)=C(COP(O)(O)=O)C=[N+]1C","DB01639"
"C[C@H]1CC(=O)NN=C1C1=CC=C(NC2=C(CC3=CC=CC(I)=C3)C(=O)CCC2)C=C1","DB01640"
"CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O","DB01642"
"CC1=CN([C@H]2C[C@H](O)[C@@H](COP(O)(O)=O)O2)C(=O)NC1=O","DB01643"
"OC(=O)CCC1C2=CC=C(O)C=C2OC2=C1C=CC(O)=C2","DB01644"
"OC1=CC=C(C=C1)C1=COC2=C(C(O)=CC(O)=C2)C1=O","DB01645"
"[H][C@@](CCSC)(NC(C)=O)C(O)=O","DB01646"
"CCCOC1=CC(=CC=C1OC)[C@]1(C)CNC(=O)O1","DB01647"
"CN1C=[N+]([C@@H]2O[C@H](CO[P@](O)(=O)O[P@](O)(=O)O[P@](O)(=O)OC[C@H]3O[C@H]([C@H](O)[C@@H]3O)N3C=NC4=C(N)N=CN=C34)[C@@H](O)[C@H]2O)C2=C1C(=O)N=C(N)N2","DB01649"
"OC(=O)C=CC1=CC=CC=C1O","DB01650"
"CO[C@@H]1O[C@@H]2CO[C@](C)(O[C@@H]2[C@H](O)[C@H]1O)C(O)=O","DB01651"
"CC(C)(CO[P@](O)(=O)O[P@](O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C(N)N=CN=C12)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)C1=CC=C(O)C=C1","DB01652"
"O[C@@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@H](O)C(O)=O","DB01655"
"N[C@@H](C[C@@H]1CC(=N[C@@H]2C[C@H]2C2=CC=CC=C2)C(O)=CC1=O)C(O)=O","DB01657"
"NC1=NC=NC2=C1N=CN2[C@@H]1O[C@@H](CO[P@](O)(=O)O[P@@](O)(=O)OP(O)(O)=S)[C@H](O)[C@H]1O","DB01660"
"O[C@@H]1[C@@H](O)[C@@H](O[C@@H]1CO[P@]([O-])(=O)O[P@]([O-])(=O)OP([O-])([O-])=O)N1C=NC2=C1N=CN([C@@H]1O[C@H](COP([O-])([O-])=O)[C@@H](O)[C@H]1O)C2=N","DB01661"
"[H][C@@](C)(CC1=CC=CC=C1O)C(O)=O","DB01662"
"CC1=CC2=C3C=C(CCCCCCCCC(=O)N[C@H]4[C@H]5C[C@@H]6C[C@@H](C[C@H]4C6)C5)C=CN3[Ru++]34(N5C=CC=CC5=C5C=CC=CN35)(N3C=CC=CC3=C3C=CC=CN43)N2C=C1","DB01663"
"N[C@@H](CC1=CONC1=O)C(O)=O","DB01664"
"NC1N=C2C=CC=CC2=N1","DB01665"
"OS(=O)(=O)O[C@H]1[C@@H](OS(O)(=O)=O)[C@@H](OS(O)(=O)=O)[C@@H](OS(O)(=O)=O)[C@H](OS(O)(=O)=O)[C@@H]1OS(O)(=O)=O","DB01666"
"NC1=NC2=C(NN=N2)C(O)=N1","DB01667"
"[H][C@]12CC(=O)O[C@]1([H])C1=C(C(=O)C3=C(C=CC=C3O)C1=O)[C@]([H])(C)O2","DB01668"
"CC(C)[C@H]1OC(=O)C2=CCCN2C(=O)C2=COC(=N2)CC(=O)C[C@H](O)C=C(/C)C=CCNC(=O)C=C[C@H]1C","DB01669"
"CCCOC(C)=O","DB01670"
"O[Hg]C1=CC=C(C=C1)C(O)=O","DB01671"
"OC(=O)C1=CC=CC(O)=C1O","DB01672"
"C[C@@H](NC(=O)[C@@H](C)O[C@@H]1[C@@H](O)[C@H](CO)O[C@H](O[P@](O)(=O)O[P@@](O)(=O)OC[C@@H]2O[C@H]([C@H](O)[C@H]2O)N2C=CC(=O)NC2=O)[C@H]1NC(C)=O)C(O)=O","DB01673"
"CC(=C)C(=O)SCCNC(=O)CCNC(=O)[C@@H](O)C(C)(C)CO[P@](O)(=O)O[P@@](O)(=O)OC[C@@H]1O[C@H]([C@H](O)[C@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N","DB01675"
"CC1=C(C=C(C=C1[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O","DB01676"
"[O-]C(=O)C=CC([O-])=O","DB01677"
"CC(=O)N[C@@H](CC1=CC=C(OP(O)(O)=O)C(C=O)=C1)C(=O)N[C@@H]1CCCCN(CC2=CC=C(C=C2)C2=CC=CC=C2)C1=O","DB01678"
"OC(=O)C1=C(C(O)=O)C(C(O)=O)=C(C(O)=O)C(C(O)=O)=C1C(O)=O","DB01681"
"CC(C)C[C@@H](NC(=O)[C@H](NC(=O)N[C@H](CC1=CC=CC=C1)C(O)=O)[C@H]1CCNC(=N)N1)C(=O)N[C@H](CC1=CC=CC=C1)C=O","DB01683"
"OC[C@@H](O)CSO","DB01684"
"N#CC1=NC=CC(=C1)C1=NNC(=N1)C1=CC=NC=C1","DB01685"
"N[C@@H](CCCN=C(/N)N(C)C)C(O)=O","DB01686"
"CC1=CC=C(O)C=C1","DB01688"
"CC1=CC=CC=C1CC(=O)NC1=CC(C)=C(C(C)=C1)S(=O)(=O)NCC(O)=O","DB01689"
"NC1=NC=NC2=C1N=CN2[C@@H]1O[C@@H](CO[P@](O)(=O)OP(O)(=O)O[P@@](O)(=O)OC[C@@H]2O[C@H]([C@H](O)[C@H]2O)N2C=NC3=C2N=CN=C3N)[C@H](O)[C@H]1O","DB01690"
"CN(CC1=CN(C)C2=CC=CC=C12)C(=O)C=CC1=CN=C2NC(=O)CCC2=C1","DB01691"
"O[C@H](CS)[C@H](O)CS","DB01692"
"NC(=O)C1=NN(C=N1)[C@@H]1O[C@@H](COP(O)(O)=O)[C@H](O)[C@H]1O","DB01693"
"O[C@@H]([C@@H](O)C(O)=O)C(O)=O","DB01694"
"ONC(=O)CCCP([O-])([O-])=O","DB01695"
"O=C1NC2=C(N1)C(=O)NC(=O)N2","DB01696"
"C[C@@H]1O[C@H](OC[C@@H]2O[C@H](OC3=C(OC4=CC(O)=CC(O)=C4C3=O)C3=CC=C(O)C(O)=C3)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O","DB01698"
"CC=C(/N)CCC(O)=O","DB01699"
"NC(=O)C1=C(N)N(C=N1)[C@@H]1O[C@@H](COP(O)(O)=O)[C@H](O)[C@H]1O","DB01700"
"C[C@@H](Cl)CCl","DB01701"
"OC(=O)CC1=CC(O)=C(O)C=C1","DB01702"
"C1(N(C(=O)CC1)CCC12[Fe]3456789%10C%11C3=C4C5=C6%11)=O.C7(C8=C19)=C2%10","DB01703"
"OC(=O)C=CC1=C(O)C=C(O)C=C1","DB01704"
"NC(=[NH2+])c1ccc2nc(Cc3nc4ccc(cc4n3)C(N)=[NH2+])nc2c1","DB01705"
"OC[C@@H](OP(O)(O)=O)C(O)=O","DB01709"
"C1=CC2=CC3=[N+]4C(C=C3)=CC3=CC=C5C=C6C=CC7=[N+]6[Fe+3]4(N35)N2C1=C7","DB01710"
"OCC1=C(F)C(F)=C(F)C(F)=C1F","DB01711"
"[H][C@@](CC1=CC=CC=C1)(NC(=O)[C@]1([H])CSCCN1S(=O)(=O)C1=CC=C(C)C=C1)C(=O)OCC","DB01712"
"O[C@H]1[C@H](CO[P@](O)(=O)O[P@@](O)(=O)O[C@@H]2OC[C@H](O)[C@H](O)[C@H]2O)O[C@H]([C@@H]1O)N1C=CC(=O)NC1=O","DB01713"
"C[C@H](N)[C@H](N)CCCCCC(O)=O","DB01715"
